exercise,type,body_region,equipment,primary_muscles_worked,video_link,exercise_description,s3_url
Serratus Plank,Stabilization,Upper Extremity,None,"Serratus, Rectus Abdominis, Scapulas",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Serratus%20Plank.mp4,"Serratus Plank begins in a forearm plank, with the chest facing the floor, place the elbows beneath the shoulder, keep the forearms parallel, and the palms flat on the floor, protract through the upper back so you're rounding through the upper back, hollowing out through the chest and belly, and keeping the ribs tucked and legs straight, and legs and feet together, toes tucked. Think of hugging the side of the rib cage around the body to engage the serratus muscles. ",https://d351vh8f4f3ihs.cloudfront.net/Serratus_Plank.mp4
Serratus Wall Slide,Stabilization,Upper Extremity,None,"Serratus, Latissimus Dorsi, Anterior Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Serratus%20Wall%20Slide.mp4,"Serratus wall Slide begins standing, with a vertical spine, facing the wall.  With both hands on the wall, in a neutral position, applying pressure into the wall, pressing up and in, maintaining contact with the wrist and elbow through the entire range of motion. Then tucking the elbows back down towards the hips, maintain contact with the wall throughout. ",https://d351vh8f4f3ihs.cloudfront.net/Serratus_Wall_Slide.mp4
Standing shoulder external rotation with dowel,Range of Motion,Upper Extremity,None,"Latissimus Dorsi, Posterior Deltoids, Anterior Deltoids, Pecs",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Standing%20Shoulder%20External%20Rotation%20with%20Dowel.mp4,"Standing Shoulder External Rotation AAROM with Dowel begins tall standing, with the feet underneath the hips, weight in the heels, elbows flexed at 90 degrees, tucked in tight to the side, and holding a dowel in a mixed grip (one underhand and one overhand) at approximately the ribcage height in front of the body with a towel tucked underneath the armpit of the hand positioned in an underhand grip. The movement initiates with the hand opposite of the side with the towel, pressing into the dowel and forcing external rotation at the opposite shoulder (movement away from the body), while keeping the elbow tucked in tight to the towel and rotating only through the shoulder. Then slowly returning back to the set up position under control.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Standing_Shoulder_External_Rotation_with_Dowel.mp4
Standing shoulder internal rotation stretch with a towel,Range of Motion,Upper Extremity,None,"Latissimus Dorsi, Posterior Deltoids, Anterior Deltoids, Pecs",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Standing%20Shoulder%20Internal%20Rotation%20Stretch%20with%20Towel.mp4,"Towel Internal Rotation Stretch begins standing, with one arm behind you like giving yourself a pat on the back, and the other hand behind you like you're going to take a bow, and a towel held between the hands behind the back. To help with internal rotation, pull up with the top hand and feel the bottom arm move more into internal rotation.",https://d351vh8f4f3ihs.cloudfront.net/Standing_Shoulder_Internal_Rotation_Stretch_with_Towel.mp4
Posterior capsule stretch,Stretch,Upper Extremity,None,"Posterior Deltoids, Rhomboids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Posterior%20Capsule%20Stretch.mp4,"Posterior Capsule Stretch begins in a tall standing position, with arms down by your sides. To come into position, lift one arm straight up to be in line with the shoulder, then bring the arm across the body, bringing your other hand onto the outside of the arm to help assist in pulling the arm in towards the body, stretching across the back of the shoulders and upper back. Hold for the prescribed amount of time.",https://d351vh8f4f3ihs.cloudfront.net/Posterior_Capsule_Stretch.mp4
Prone Shoulder Extensions,Strengthening,Upper Extremity,Bench,"Posterior Deltoids, Latissimus Dorsi",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Prone%20Shoulder%20Extension%20Assessment%20.mp4,"Prone Shoulder Extension Assessment begins lying prone on top of a heightened object like a plyo box, with the body in one straight line from head to toe, arms hanging off the sides of the box. To come into position, pull one arm up towards the ceiling, with palm face-up, the arm moving behind the plane of the body, and try to lift the palm up as high as you can. Hold for the prescribed amount of time.",https://d351vh8f4f3ihs.cloudfront.net/Prone_Shoulder_Extension_Assessment_.mp4
Standing Dumbbell/Soup Can Lateral Raise,Strengthening,Upper Extremity,Dumbbell/Soup Can,"Medial Deltoids, Rear Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Standing%20Dumbbell%20Lateral%20Raise.mp4,"Standing Dumbbell Lateral Raise begins tall standing with the feet underneath the hips, weight in the mid foot and both arms down by the side with a pair of dumbbells in the neutral grip. The movement initiates by pulling the dumbbells high and wide, lateral to the body, keeping the elbows straight, and finishing at the shoulder height. Then lowering the dumbbells back to the set up position under control.",https://d351vh8f4f3ihs.cloudfront.net/Standing_Dumbbell_Lateral_Raise.mp4
Standing Dumbbell/Soup Can external rotation,Strengthening,Upper Extremity,Dumbbell/Soup Can,"Anterior Deltoids, Infraspinatus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Standing%20Dumbbell%20External%20Rotation.mp4,"Standing Dumbbell/Soup Can External Rotation begins tall standing with the feet underneath the hips, weight in the mid foot to heels, and both arms flexed at 90 degrees with the elbows opened lateral to the body and Dumbbell/Soup Cans stacked vertically over the elbow in an overhand grip. The movement initiates by rotating the shoulder inward and Dumbbell/Soup Cans downward until the point of resistance, keeping the elbows flexed at 90 degrees, then rotating up and back finishing with the Dumbbell/Soup Can stacked back over the elbow in a sRange of Motionecrow like position.",https://d351vh8f4f3ihs.cloudfront.net/Standing_Dumbbell_External_Rotation.mp4
Wall Angel,Stabilization,Upper Extremity,None,"Latissimus Dorsi, Rhomboids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wall%20Angel.mp4,"Wall Angel begins standing with your back to the wall, and lower back making contact with the wall, as well as the back of the legs, or feet slightly in front of the wall, arms out in a cactus shape with elbows flexed at 90 degrees, forearms vertical, and back of the wrists and hands making contact with the wall. To initiate the movement, slowly slide the arms up the wall, coming into an extended arm position, with arms extended up in a Y shape. Then, with control, pull and slide the elbows back down the wall, maintaining contact with the wall throughout, and ending back at the starting position.",https://d351vh8f4f3ihs.cloudfront.net/Wall_Angel.mp4
Wall Push-Up,Strengthening,Upper Extremity,None,"Pecs, Anterior Deltoids, Triceps",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wall%20Push%20Ups.mp4,"Wall Push-Up begins by standing in front of a wall, with arms extended from the shoulders, hands making contact with the wall, hands shoulder-width apart, and body leaning forward slightly and on the balls of the feet. To initiate the movement, bend at the elbows and slowly draw the body towards the wall, keeping the core braced and the body in one straight line from head to toe. Once at the bottom of your push-up position, press into the wall to extend the arms and push back to the starting position.",https://d351vh8f4f3ihs.cloudfront.net/Wall_Push_Ups.mp4
Sleeper Stretch,Range of Motion,Upper Extremity,None,"Teres Major, Pecs, Subscapularis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Sleeper%20Stretch%20.mp4,"Sleeper Stretch begins side lying with legs in extension, feet stacked, and toes pointed, bottom arm flexed at 90 degrees, perpendicular to the chest, with wrist high and palm facing away, and top arm stacked over the body, resting at the wrist. The movement initiates by applying pressure at the wrist, internally rotating at the shoulder, moving the wrist away from the body to the sticking point, or point of tension, relaxing, restting and repeating for prescribed amount of reps.",https://d351vh8f4f3ihs.cloudfront.net/Sleeper_Stretch_.mp4
Back supported seated shoulder press,Strengthening,Upper Extremity,Dumbbell/Soup Can,"Anterior Deltoids, Triceps",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Back%20Supported%20Dumbell%20Shoulder%20Press.mp4,"Back Supported Shoulder Press is done seated on a bench, with vertical back support to rest the back on. Start this movement seated on a bench, with heels on the floor and back pressed up against the vertical part of the bench. Grip your Dumbbell/Soup Cans and bring them into the rack position up near the shoulders. To start the movement, begin to press the Dumbbell/Soup Cans up overhead, allowing the bells and arms to follow the natural path of the shoulders. Then, slowly bring the weights back to the starting rack position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Back_Supported_Dumbell_Shoulder_Press.mp4
Push-up,Strengthening,Upper Extremity,None,"Pecs, Anterior Deltoids, Triceps, Rectus Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Push-Up.mp4,"Push-Up begins in a high plank position, with hands beneath the shoulders, legs straight, feet together, arms straight, shoulder blades protracted (rounded through the upper back), and core braced by keeping a PPT (posterior pelvic tilt). To initiate the movement, bend the elbows and pull them back as you lower the front of the body down towards the floor. At the bottom of the position, elbows are hugging in towards the sides of the body, the elbows are stacked above the wrists, hands should be next to the top of the ribcage, and the PPT is maintained. Then, drive through the hands to extend the arms, and lift the body back up to the high plank position.",https://d351vh8f4f3ihs.cloudfront.net/Push-Up.mp4
Cat Cow,Stabilization,Lumbar,None,,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Cat-Cow.mp4,"Cat Cow begins on all fours or the quadruped position. To initiate the movement, move into the cow spine by lifting the chin, retracting the shoulder blades, and finding an anterior tilt of the pelvis so the spine is fully extended. Then, move into a cat by bringing the chin into the chest, protracting or rounding through the upper back, and find a posterior tilt of the pelvis to bring the spine into a flexed position.",https://d351vh8f4f3ihs.cloudfront.net/Cat-Cow.mp4
Thread the needle,Range of Motion,Thoracic,None,"Rectus Abdominis, Spinal Erectors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Thread%20the%20needle.mp4,"Thread the Needle begins in a tabletop position, with your hands and knees on the ground. Lift your right hand up towards the ceiling and then thread it underneath your left arm, reaching as far as you comfortably can. Rest your right shoulder and cheek on the ground, and extend your left arm forward. You can stay here and breathe deeply for several breaths, or deepen the stretch by bringing your left hand to your right hip, adding a gentle twist to the upper back. When ready to release, come back to the tabletop and repeat on the opposite side.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Thread_the_needle.mp4
Bird dog,Stabilization,Core,None,"Latissimus Dorsi, Erector, Biceps",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Bird-Dog.mp4,"Bird-Dog begins in the quadruped position, starting with one arm extended forward with the bicep by the ear and the opposite leg extended back, in line with the hips. To initiate the movement, draw the opposite arm and knee together beneath the torso then re-extend back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Bird-Dog.mp4
Supine hamstring stretch with strap,Stabilization,Lower Extremity,None,"Transverse Abdominis, Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Banded%20Hamstring%20Stretch.mp4,"Supine Single Leg Hamstring Stretch begins lying supine (face up), with both legs straight, feet togeher, and both hands holding the ends of a strap placed over a single foot, with long arms. The movement initiates by flexing at the hip and rasing the same leg as the foot with the strap, to approximately 90 degrees or perpendicular with the hips, keeping the knee extended and foot flexed, and holding for the prescribed time domain.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Banded_Hamstring_Stretch.mp4
Supine pirifromis stretch,Stabilization,Lower Extremity,None,"Transverse Abdominis, Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Supine%20Figure%20Four%20Glute%20Stretch.mp4,Supine Piriformis Stretch begins in a supine position. Cross one leg over the other and pull towards your chest until you feel a stretch in the crossed over leg. Repeat on both sides.,https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Supine_Figure_Four_Glute_Stretch.mp4
Supine knees bent posterior pelvic tilt,Stabilization,Core,None,"Transverse Abdominis, Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Supine%20Posterior%20Pelvic%20Tilt.mp4,"Supine Knees Bent Posterior Pelvic Tilt begins lying supine (face up) with the knees flexed and heels pulled in toward the butt and both arms down by the side. The movement initiates by rotating the pelvis forward, extending through the lower back, keeping the hips in contact with the ground, then flexing through the lower back, rotating the hips backward, and driving the low back in contact with the ground. ",https://d351vh8f4f3ihs.cloudfront.net/Supine_Posterior_Pelvic_Tilt.mp4
Glute bridge,Strengthening,Lower Extremity,None,"Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Glute%20Bridge.mp4,"Glute Bridge begins lying supine on the floor, with knees bent and heels down, feet roughly hip-width apart, and heels directly beneath the knees. To initiate the movement, squeeze through the glutes and drive through the heels to lift the hips up in line with the knees and allow the knees to move forward. Then, with control, lower back down to the ground, lowering the spine down one vertebra at a time.",https://d351vh8f4f3ihs.cloudfront.net/Glute_Bridge.mp4
Clamshell,Strengthening,Lower Extremity,None,"Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Clamshell.mp4,"Clamshell begins lying on one's side, propped up on one forearm, with knees bent and legs stacked on one another and a band around the mid-thighs. To initiate the movement, begin to abduct through the top leg, find an outward rotational movement, and squeeze at the top. Then, with control, lower the top leg back down to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Clamshell.mp4
Sidelying Abduction,Strengthening,Lower Extremity,None,"Obliques, Transverse Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Lying%20Abduction.mp4,"Side Lying Abduction begins laying on the side with legs and bottom arm in extension. With a flexed foot, and straight knee, the movement initiates by raising the top leg away from the middle of the body finishing at approximately 45 degrees and returning under control.",https://d351vh8f4f3ihs.cloudfront.net/Side_Lying_Abduction.mp4
Deadbug heel tap,Strengthening,Core,None,"Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Deadbug%20Heel%20Taps.mp4,"Deadbug Heel Tap begins lying supine on the floor with knees bent and over the hips to create a 90-90 shape in the legs and arms are extended up towards the ceiling. To initiate the movement, begin to reach one arm back behind you while simultaneously dropping one heel to the floor, all while keeping the low back set on the floor. Then, come back to starting position and repeat on the other side.",https://d351vh8f4f3ihs.cloudfront.net/Deadbug_Heel_Taps.mp4
Single leg glute bridge,Strengthening,Lower Extremity,None,"Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Single%20Leg%20Glute%20Bridge.mp4,"Single Leg Glute Bridge begins lying supine (face up) with the knees flexed at approximately 90 degrees, heels in the ground and shoulder blades in contact with the ground. The movement initiates by extending one leg, driving the hips into extension and holding for the prescribed time domain.",https://d351vh8f4f3ihs.cloudfront.net/Single_Leg_Glute_Bridge.mp4
Quadruped Hip extension,Strengthening,Lower Extremity,None,"Glutes, Hamstrings, Erector Spinae",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Quadruped%20Hip%20Extension.mp4,"Quadruped Hip Extension begins in a quadruped position, with hands and knees in contact with the floor, hands beneath the shoulders, arms straight, knees beneath the hips, legs hip-width apart, and gaze down towards the floor to keep the spine in one straight line. To initiate the movement, kick one heel straight back, extending through the leg, and the leg ending in line with the upper torso. Then, with control, draw the knee back in and down to the quadruped position.",https://d351vh8f4f3ihs.cloudfront.net/Quadruped_Hip_Extension.mp4
Half Kneeling hip flexor stretch,Stabilization,Lower Extremity,Dumbbell/Soup Can,"Hip Flexors, Psoas, Quadriceps",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_Half%20Kneeling%20Hip%20Flexor%20Stretch.mp4,"Half Kneeling Hip Flexor Stretch begins in a half kneeling position on the floor, with the back knee supported by a pad, and the back knee underneath the spine. Start by engaging the core and thighs. Keep the ribs hugging down, find a PPT (posterior pelvic tilt), and hug the inner thighs together. Keep this engagement now as you begin to lean the hips forward, moving the front knee forward over the front of the foot. Then, with control, pull the hips back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/WL_Half_Kneeling_Hip_Flexor_Stretch.mp4
Dead Bug,Stabilization,Core,None,"Core, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Deadbug.mp4,"Deadbug begins lying supine on the floor with knees bent and over the hips to create a 90-90 shape and arms are extended up towards the ceiling. To initiate the movement, begin to reach one arm back behind you while simultaneously extending the opposite leg forward, all while keeping the low back set on the floor. Then, come back to starting position and repeat on the other side.",https://d351vh8f4f3ihs.cloudfront.net/Deadbug.mp4
Quadruped Hip Circle,Strengthening,Lower Extremity,None,"Hip Flexors, Glutes, Abductors, Adductors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Quadruped%20Hip%20Circle.mp4,"Quadruped Hip Circle begins in a quadruped position, with hands and knees in contact with the floor, hands beneath the shoulders, arms straight, knees beneath the hips, legs hip-width apart, and gaze down towards the floor to keep the spine in one straight line. To initiate the movement, kick one leg straight back, so the lifted leg is in line with the torso. Then, bend the knee of the hovering leg so the heel is now facing the ceiling. Next, in a wide arc, draw the knee laterally wide to the side so you end up in this position akin to a dog using a fire hydrant. Lastly, pull the inner thigh back in towards the body, arriving back in the quadruped position.",https://d351vh8f4f3ihs.cloudfront.net/Quadruped_Hip_Circle.mp4
Wall Squat,Strengthening,Lower Extremity,None,"Quadriceps, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Foam%20Roller%20Squat.mp4,"wall Squat begins in a standing position, with back facing a wall (a foam roller or physioball can be used between the back and the wall), with arms across the chest. To initiate the movement, bend the knees and allow the back to roll along with the foam roller as you lower down to a parallel squat. Then, drive through the heels to extend the legs and roll back up to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Foam_Roller_Squat.mp4
TFL IT Band Stretch,Stretch,Lower Extremity,None,"Abductors, Glutes, Adductors, TFL",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/TFL-IT%20Band%20Stretch%20.mp4,"TFL IT Band Stretch begins tall standing adjacted to a wall, staggering the inside leg across and behind the far ankle, with the weight in the mid foot to heel of the near foot, and in the outside of the crossed over foot, leaning against the wall with the inside arm extended, lateral to the body. The movement initiates by shifting the hips lateral to the wall, then rotating the hips forward, and holding the stretch for the prescribed time domain. ",https://d351vh8f4f3ihs.cloudfront.net/TFL-IT_Band_Stretch_.mp4
Single Leg Lateral Step Down and Up,Strengthening,Lower Extremity,Step,"Quadriceps, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Single%20Leg%20Lateral%20Step%20Down%20and%20Up.mp4,"Single Leg Lateral Step Down begins tall standing on a low box, with one foot off the box, leg in extension and the weight through the middle of the working foot, both arms down by the side. The movement initiates by flexing at the knee on the working leg, keeping the weight through the middle of the foot, sitting the hips down over the center of gravity, tapping the ground with the trail leg, extending the knee of the working leg, and finishing tall on the box.  ",https://d351vh8f4f3ihs.cloudfront.net/Single_Leg_Lateral_Step_Down_and_Up.mp4
Single Leg Romanian Deadlift to Target,Strengthening,Lower Extremity,None,"Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_2022%2009%20SEP%20OCT_Single%20Leg%20Romanian%20Deadlift%20to%20Target.mp4,"Single Leg Romanian Deadlift to Target begins in a tall standing position, with feet hip-width apart, and a plyo box, or similar object, set to about hip height, set a few feet in front of you. To initiate the movement, simultaneously hinge at the hips, pressing the hips back, while kicking one leg directly back behind you, drawing the upper body to face towards the floor, and the arm opposite of the back leg reaching forward towards the plyo box, ending with the body in one straight line from back lifted heel to arm extending forward, keeping the hips squared with the floor. Then, with control, reverse the hinge movement, and come back to the starting standing position.",https://d351vh8f4f3ihs.cloudfront.net/WL_2022_09_SEP_OCT_Single_Leg_Romanian_Deadlift_to_Target.mp4
Wall sit,Strengthening,Lower Extremity,None,"Abductors, Glutes, Adductors, TFL",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wall%20Sit.mp4,"wall Sit begins by leaning the back into a wall behind you, with feet about a foot away from the wall, legs, and feet about hip-width apart. To come into the position, slide the body vertically down to bring the hips in line with the knees, to where the knees are flexed at about 90 degrees. Keep the low back in contact with the wall throughout the movement, and attempt to keep your hands free from the legs. Hold for the prescribed amount of time.",https://d351vh8f4f3ihs.cloudfront.net/Wall_Sit.mp4
Straight leg calf stretch,Stabilization,Lower Extremity,None,"Gastrocnemius, Soleus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Straight%20Leg%20Calf%20Stretch.mp4,"Straight Leg Calf Stretch begins tall standing, with the feet underneath the hips, a dumbbell on the ground (laying the long way) in front of the feet, and the arms down by the side. The movement initiates by stepping the non working leg forward, in front of the dumbbell to gain leverage, stepping the working leg onto the dumbbell, across the handle at the ball of the foot, then driving the heel to the ground, and flexing at the non working knee, to drive traction forward, in order to promote a stretch at the calf of the working leg. ",https://d351vh8f4f3ihs.cloudfront.net/Straight_Leg_Calf_Stretch.mp4
Bodyweight Calf Raise,Strengthening,Lower Extremity,None,"Gastrocnemius, Soleus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Bodyweight%20Calf%20Raise.mp4,"Bodyweight Calf Raise begins standing on an elevated object, like a weight plate or similar object, with the balls of the feet on the elevated surface, and the heels hanging off the end, with a stable object in front of you to put your hands for stability. To initiate the movement, lift the heels up, flexing the calf muscles. Then, with control, lower the heels back down and below the surface of your elevated object.",https://d351vh8f4f3ihs.cloudfront.net/Bodyweight_Calf_Raise.mp4
